tv_ads,radio_ads,newspaper_ads,digital_marketing,sales
437.0861069626262,227.13598412484893,149.68721624139465,1099.4064387122962,7753.504974971098
955.6428757689246,263.0460467187596,145.52476901030764,1544.1441905226698,11683.762316732606
758.7945476302646,434.5463269409812,112.93048655128707,1212.8002051813996,8910.744929296341
638.792635777333,203.00197372695143,250.521225457624,349.9446496012335,3339.2848886340207
240.41677639819287,441.3423581654771,157.56477075702043,534.0444262103997,4361.964030676936
240.3950683025824,89.66049393951117,272.9350961494295,594.7907312556545,4096.221646997635
152.27525095137952,399.5592967438838,38.60132588263022,664.1556565607208,5082.3977600220815
879.5585311974417,431.3964348746314,60.952784768140845,1217.7261055109077,10333.464751062877
641.0035105688879,131.81794377680245,56.36990589405319,1107.1384036857082,7140.182603070884
737.2653200164409,243.6559395674902,269.3632810903953,565.6880690555761,5955.994509286653
118.5260448662222,124.47489859864504,56.78252313047722,321.5987182202367,1090.5597693608397
972.9188669457948,367.971858047398,102.57521596508394,508.5779680544925,6335.207412906702
849.1983767203795,290.9064956277455,253.4712066036824,1971.8863627134856,13338.789020418795
291.1051996104485,335.89550601874447,30.25462148242239,1043.38450962465,5998.735496920706
263.6424704863905,138.41913513029502,188.3183181571972,1761.2219084638025,10185.8452847927
265.06405886809046,145.28563792358878,130.40223113993548,1727.754440003918,9192.085147639014
373.8180186635839,68.67379647945786,248.2985837803109,1120.7352034331725,6665.522552700518
572.280788469014,194.9303908380784,60.76973496670112,1472.0378752289782,9896.73161328061
488.7505167779042,301.8850976001537,165.64760251775462,546.9536187428821,4645.949826073373
362.1062261782377,436.070711298798,223.86167672906487,1439.114068868435,8987.49327720755
650.6676052501415,350.11735135640635,118.3917036311578,690.2922426739211,6263.404272976412
225.54447458683765,245.92834552988813,102.00992627204784,1697.7117741574714,10056.12346318193
362.9301836816964,478.904051477362,230.01852847784093,350.7034395960378,3799.585774671204
429.7256589643225,373.6603402591243,33.41350237800499,1591.6496111934994,10785.522843149134
510.4629857953323,468.5743412881475,219.7513768348132,379.8864318235152,4200.159191086817
806.6583652537122,287.4145879724746,295.1520481523237,1786.140626409756,12541.8328714754
279.70640394252376,166.50692365691282,160.89007622442068,747.5681326430067,5174.817207141045
562.8109945722504,73.7720088641249,52.20296980786215,1377.9080566950345,9061.528447871431
633.1731119758382,376.7381831677327,59.13454365020356,1077.504101516504,7460.170980095623
141.80537144799794,104.58634910249036,286.1371625807725,859.3456614722102,5539.454809059794
646.7903667112945,186.24880772238524,42.4011087018543,1361.7952997302937,9181.881613216632
253.4717113185624,289.61190854775384,86.3402586181298,1905.5413649922284,12023.487470592812
158.54643368675156,303.98746450088646,259.794808202679,274.28554527431936,2583.6150691780445
953.996983528,320.2624386442112,44.199697234983205,1853.935140589588,12762.105676077834
969.0688297671036,124.81489865736528,69.00843808054344,1296.3469790378244,9381.549108315485
827.557613304815,220.88183216974195,216.4492129079041,1653.165741384294,11192.68039499035
374.1523922560336,327.737402202635,153.36152984525555,890.9749161816997,6938.440320130245
187.90490260574543,486.41848908520313,280.700960261456,1049.317354707705,7174.5233417751215
715.8097238609412,377.4340119648599,158.49097792396248,1763.9313532420952,11869.351877058676
496.1372443656412,465.171690692281,198.7290668428832,946.7263456576816,7580.283110565747
209.83441136030092,392.9954262413797,233.65622991950835,1162.387220148353,7006.237305109611
545.6592191001432,316.2726360015802,76.31112732254049,236.35086155179923,3191.7647309095105
130.94966900369656,136.41051611135504,35.71422977515033,485.47641050847614,2779.5358278969697
918.388361870904,350.00854335163086,55.07205769475074,1355.0357143546396,10724.394372661249
